"genotype","temperature","mumax","alpha","CO2opt"
"CCMP2929","26",1.8902667131116,43.4365946156865,638.441941062726
"CCMP2929","26",1.8175697873987,62.5892944535044,777.575713179742
"CCMP2929","26",1.88576973176991,38.5825371778233,938.732452643317
"CCMP2929","26",1.90359926910281,40.6995914252818,1028.97618513273
"CCMP2929","26",1.51279461684303,66.2797195654584,814.103243085827
"CCMP2929","26",1.60595747325501,52.3646131058723,666.810930675547
"CCMP2929","26",1.6181435305764,46.4489526792225,733.446138145375
"CCMP2929","26",1.58141800823251,48.897488322341,659.938665866542
"CCMP2929","26",1.66346984989887,72.7767419151038,947.514100085806
"CCMP2929","26",1.65803256993674,61.8779902532183,877.413856494479
"CCMP2929","26",1.67599973383827,98.002213050535,700.608234715897
"CCMP2929","26",1.77492923819619,85.8827591500064,656.765576810635
"CCMP2929","26",1.67655596048773,96.7991566776108,769.603735828235
"CCMP2929","26",1.72562419000007,94.9860438885928,762.089447081445
"CCMP2929","26",1.79407429842008,60.6528508744827,693.870373958936
"CCMP2929","26",1.7142403974732,98.1803936789861,730.705466454472
"CCMP2929","26",1.72506026271277,92.379611175713,758.366366460067
"CCMP2929","26",1.88396406888523,52.0914519493029,707.575832862946
"CCMP2929","26",1.6704554349499,71.0850707160975,696.144469325536
"CCMP2929","26",1.68677445150575,81.0857183080953,638.635940334541
"CCMP2929","26",1.75458616873732,85.6750511573915,866.498102162772
"CCMP2929","26",1.63241681046068,100.071824524813,862.972432776448
"CCMP2929","26",1.51320269247073,81.7876451986222,589.019537107142
"CCMP2929","26",1.68225843067065,41.2774969033325,1064.34981177531
"CCMP2929","26",1.67772196964801,46.7916454875784,972.145548444799
"CCMP2929","26",1.79504702885053,57.9515027006639,687.061492928495
"CCMP2929","26",1.85053768267705,45.53430223853,712.292735413263
"CCMP2929","26",1.9022811558746,54.233360469412,682.335567816152
"CCMP2929","26",1.90396574521696,55.4671040907938,658.510224738475
"CCMP2929","26",1.87028818994676,58.6798562493755,681.180958802352
"CCMP2929","26",1.73881092598883,51.5592864717167,687.848600786617
"CCMP2929","26",1.68242695862166,68.3552811561029,723.0763058976
"CCMP2929","26",1.80417190606112,50.1188621969827,751.486477141006
"CCMP2929","26",1.8650249101282,60.0241998683623,698.652442748859
"CCMP2929","26",1.80503911439024,57.1903259777054,641.617698850178
"CCMP2929","26",1.70349609175981,102.552673008923,803.164907061362
"CCMP2929","26",1.81643387695942,71.0549998537733,656.197553742125
"CCMP2929","26",1.73910929383102,84.42889480433,753.931273661585
"CCMP2929","26",1.73029632212804,70.441191370793,694.037180779203
"CCMP2929","26",1.75478536969432,58.9436218478531,793.179486371672
"CCMP2929","26",1.70389822496786,55.008856690376,824.409412204926
"CCMP2929","26",1.69855211810213,65.3167646150688,815.731392056792
"CCMP2929","26",1.85667374312575,34.7511993260375,972.280860292441
"CCMP2929","26",1.67208728481629,43.9525004222644,758.623493833754
"CCMP2929","26",1.54368370125446,84.2120101308299,744.36149642571
"CCMP2929","26",1.90127123863264,64.8977529434165,1106.12115731989
"CCMP2929","26",1.91459151778415,67.1168692323156,1132.74208820305
"CCMP2929","26",1.57193696372766,72.1998181579767,829.469375226487
"CCMP2929","26",1.60842271444046,60.7222730423716,555.421001116912
"CCMP2929","26",1.66443050281141,59.1877780474347,612.365891015964
"CCMP2929","26",1.6395026930313,59.724959908584,623.31128798261
"CCMP2929","26",1.75333311496186,40.9187449222003,557.585290101247
"CCMP2929","26",1.88831128649398,47.9414171026383,626.785125345249
"CCMP2929","26",1.98778281689713,60.4236914591181,639.078570411575
"CCMP2929","26",1.90120003278729,50.3555489423862,575.168550107153
"CCMP2929","26",1.9007594289789,50.1117072115355,541.75997803728
