"genotype","temperature","mumax","alpha","CO2opt"
"CCMP1587","26",1.76788399013213,88.8791223705787,782.036919803778
"CCMP1587","26",1.85374918278955,70.4523787515841,825.126551522402
"CCMP1587","26",1.87845745799424,83.1392901851794,857.049660518323
"CCMP1587","26",1.71037532033859,81.6501915694761,709.254919299919
"CCMP1587","26",1.74082681629889,88.5553996002654,779.856958548665
"CCMP1587","26",1.87756157928933,61.9315332738462,827.535389084303
"CCMP1587","26",1.83176926826224,78.5392591628183,790.034233923231
"CCMP1587","26",1.83527115418143,85.4109902921007,793.738897143052
"CCMP1587","26",1.74421203018779,77.1640101686327,788.01219456201
"CCMP1587","26",1.7648260168761,73.4514722434542,770.872727167927
"CCMP1587","26",1.86988761062531,77.6204259365807,826.763500181671
"CCMP1587","26",1.84752706053252,76.7937771090508,821.947103701182
"CCMP1587","26",1.6891255615334,97.0889224034385,726.340481442273
"CCMP1587","26",1.77684912557244,65.6536089942907,794.387786666183
"CCMP1587","26",1.83565474321367,73.7446120778114,780.31865718516
"CCMP1587","26",1.75130263600852,120.529669169309,749.241704559881
"CCMP1587","26",1.72280448029087,134.537407696463,773.211768899782
"CCMP1587","26",1.73497834132458,150.641097115279,791.700350250672
"CCMP1587","26",1.80967460576665,79.634671852983,726.811296852155
"CCMP1587","26",1.74440333345672,99.924692389686,801.839021542691
"CCMP1587","26",1.85463529605176,70.7965126586457,956.43722797939
"CCMP1587","26",1.77129391369411,94.6212291866403,1084.06779713515
"CCMP1587","26",1.78840069887524,89.3581896410292,681.672892273466
"CCMP1587","26",1.83994890358657,70.4815702680689,884.451711919923
"CCMP1587","26",1.78912397603882,70.0150942595204,699.686825122509
"CCMP1587","26",1.7074639491542,85.4868919953994,737.440835493924
"CCMP1587","26",1.80355956474928,74.2267916191088,743.135968075271
"CCMP1587","26",1.75270426082905,39.8217354471786,787.069511128885
"CCMP1587","26",1.83224389657976,53.5144330223668,724.389068825771
"CCMP1587","26",1.78089921309411,94.1314484476783,822.670996071361
"CCMP1587","26",1.75110748651668,85.8302729263788,791.880881778237
"CCMP1587","26",1.81701665932394,76.3355796519987,683.334211145288
"CCMP1587","26",1.96812331587755,67.4824580985568,719.291239122926
"CCMP1587","26",1.87353428817388,55.624804394837,725.346234869779
"CCMP1587","26",1.73366100695673,62.6911320002289,825.46278438404
"CCMP1587","26",1.80459302372044,73.1025517509223,805.022939967263
"CCMP1587","26",1.73686710752018,80.8403861841992,782.605935860138
"CCMP1587","26",1.78522908054884,87.8231840977475,759.047011275761
"CCMP1587","26",1.78408850677396,90.6128055246043,719.126521039121
